job_index,name,source,core,tier,spent,node_count,hp_per_second,kills_per_second,player_hp_lost,deaths,min_hp,followers_per_minute,q_casts,v_casts,generated,frame_p95_ms,gear_set,gear_rank,q,v,nodes
0,Execution early,preset,melee,seg2,1000,5,1375.68,8.875,50.7,0,107.8,1125.0,0,0,156,2.51,gravemarch,1,,,core.melee EX01 EX02 EX03 EX04
4,Momentum developed,preset,melee,seg4,4400,10,3629.87,27.000,0.0,0,179.1,3412.5,1,0,102,5.54,lattice,3,MOQ,,core.melee MO01 MO02 MO03 MO04 MO07 MO12 MOQ MOQ1 MOF1
8,Bastion pure,preset,melee,seg6,14200,16,1310.70,8.250,68.6,0,166.8,1012.5,80,0,277,1.43,conduit,6,BAQ,BAV,core.melee BA01 BA02 BA03 BA04 BA08 BA09 BA10 BAQ BAQ2 BAQ4 BAF2 BAK1 BAC BAV BAE2
12,Barrage early,preset,ranged,seg2,1000,5,567.92,3.750,147.6,0,5.0,487.5,0,0,512,0.99,conduit,1,,,core.ranged BR01 BR02 BR04 BR05
16,Ordnance developed,preset,ranged,seg4,5200,11,4429.87,31.000,207.7,1,9.7,3945.0,3,0,1295,0.97,gravemarch,3,ORQ,,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1
20,Invocation pure,preset,magic,seg6,13600,15,1777.47,12.000,173.0,0,18.0,1492.5,1,0,272,2.86,lattice,6,INQ,INV,core.magic IN01 IN02 IN05 IN04 IN10 IN11 IN06 INQ INQ6 INF2 INK1 INC INV INE2
24,Dominion early,preset,magic,seg2,1200,5,2589.66,20.000,109.0,1,16.9,2767.5,0,0,984,3.15,lattice,1,,,core.magic DO01 DO02 DO04 DO06
28,Hybrid: Corpse artillery,preset,melee,seg9,16400,20,7017.17,47.375,91.1,0,253.3,6442.5,1,2,738,6.43,lattice,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged OR01 OR03 OR04 MR3
32,Hybrid: Runes and mines,preset,ranged,seg9,18000,22,4391.39,29.875,173.4,0,138.9,4155.0,3,1,875,2.04,lattice,10,ORQ,ORV,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1 ORC ORV ORE1 G1 core.magic IN02 IN06 IN09 RM7 OR05 OR06
36,Ascendant: Three-Core avalanche,preset,melee,seg12,71000,51,6945.85,46.750,35.7,0,518.1,6525.0,1,2,3101,1.67,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
40,Authored: Kill Line,authored,ranged,seg6,12800,15,761.31,4.750,173.4,0,93.8,600.0,80,0,114,0.99,conduit,6,PRQ,PRV,core.ranged PR01 PR02 PR03 PR04 PR07 PR09 PR12 PRQ PRQ5 PR05 PRF1 PRC PRV PRE1
44,Authored: Loaded Coin,authored,magic,seg6,13600,15,4155.79,31.625,158.6,0,106.1,4230.0,1,1,2306,1.30,conduit,6,DTQ,DTV,core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2
48,Authored: Death Debt,authored,melee,seg9,20600,26,5079.36,36.750,189.1,0,154.0,5002.5,1,1,2250,1.30,conduit,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.magic DT01 DT06 DT03 DT02 DT10 DT08 DT09 DT12 DTF2 MM2
52,Authored: Three-Core avalanche,authored,melee,seg12,71000,51,6577.63,46.875,66.2,0,510.7,6322.5,1,2,2343,1.52,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
56,random melee seg2 #0,random,melee,seg2,3000,8,2994.67,23.250,159.5,1,2.0,3180.0,0,0,106,5.53,lattice,1,,,core.melee BA02 BA06 BA05 BA10 MO08 BA01 BA11
60,random melee seg2 #4,random,melee,seg2,3000,9,337.96,1.750,41.5,0,118.0,277.5,0,0,123,1.09,conduit,1,,,core.melee EX02 BA02 BA05 BA10 BA11 BA06 MO01 EX01
64,random melee seg2 #8,random,melee,seg2,3000,11,2894.28,23.375,134.0,1,23.8,3120.0,0,0,111,5.91,lattice,1,,,core.melee EX02 BA02 MO01 BA01 MO02 EX01 MO04 BA05 BA10 BA03
68,random melee seg2 #12,random,melee,seg2,3000,11,3320.66,26.750,146.0,1,11.9,3465.0,0,0,129,5.60,lattice,1,,,core.melee EX02 BA02 BA01 MO02 MO06 EX01 MO05 MO11 MO01 EX04
72,random ranged seg2 #0,random,ranged,seg2,3000,10,1343.90,11.125,24.6,0,130.9,1365.0,0,0,394,0.88,gravemarch,1,,,core.ranged PR02 BR02 BR05 PR01 PR03 BR06 PR11 PR05 BR01
76,random ranged seg2 #4,random,ranged,seg2,3000,9,1340.51,8.625,119.0,1,4.6,1072.5,80,0,230,1.96,lattice,1,PRQ,,core.ranged PR01 OR02 PR03 PRQ PRQ5 OR05 OR06 BR01
80,random ranged seg2 #8,random,ranged,seg2,3000,10,1325.01,11.000,161.8,1,8.2,1485.0,10,0,487,0.87,gravemarch,1,ORQ,,core.ranged OR01 BR01 BR02 BR05 OR02 OR03 ORQ ORQ6 PR01
84,random ranged seg2 #12,random,ranged,seg2,3000,10,1128.14,7.625,135.7,1,13.2,967.5,0,0,351,0.84,conduit,1,,,core.ranged PR01 PR02 PR03 OR01 PR08 BR02 PR04 PR09 PR05
88,random magic seg2 #0,random,magic,seg2,3000,10,1670.49,12.125,136.9,1,17.9,1605.0,0,0,1099,3.09,conduit,1,,,core.magic DT01 DT04 DT11 IN01 DT03 DO12 IN06 IN03 DO01
92,random magic seg2 #4,random,magic,seg2,3000,10,1410.25,9.750,124.9,1,2.2,1200.0,1,0,813,3.38,conduit,1,DOQ,,core.magic DO01 DO05 IN01 DOQ IN03 DO06 DOQ4 IN02 DO12
96,random magic seg2 #8,random,magic,seg2,3000,12,2188.89,16.125,122.0,1,4.2,2070.0,0,0,1341,2.78,conduit,1,,,core.magic DO01 DO12 IN02 DO02 DO04 DT02 DOS1 DO09 DT03 DT06 IN01
100,random magic seg2 #12,random,magic,seg2,3000,11,1120.50,6.625,122.5,1,2.2,990.0,1,0,653,2.27,conduit,1,INQ,,core.magic IN02 DO01 DT01 DO03 DT02 IN03 DO05 INQ DT06 IN01
104,random melee seg4 #0,random,melee,seg4,8000,19,402.57,2.500,124.7,0,96.5,405.0,0,0,129,1.37,conduit,3,,,core.melee MO02 MO06 pick.M3 BA07 EX02 BA03 MO01 BA02 BA12 MO10 MO09 BA05 MO04 BA06 MO03 BAK2 BA10 BA01
108,random melee seg4 #4,random,melee,seg4,7800,21,4383.44,30.500,0.0,0,186.0,4042.5,1,0,196,5.87,lattice,3,MOQ,,core.melee BA01 MO01 pick.M3 BA04 MO03 EX01 BA08 MO02 MO06 EX04 MO04 MO10 MO08 EX02 BA02 EX05 MOQ BA05 MO07 MOK1
112,random melee seg4 #8,random,melee,seg4,8000,21,4760.52,35.250,0.0,0,198.3,4425.0,1,0,263,6.79,lattice,3,MOQ,,core.melee MO02 MO05 pick.M3 BA01 EX06 EX01 EXQ EX04 EX08 EX02 EXQ7 BA03 MO01 EXQ6 BA02 EX03 EX09 MOQ BA05 EXS1
116,random melee seg4 #12,random,melee,seg4,8000,19,1951.83,12.000,0.0,0,232.2,1575.0,1,0,197,1.38,gravemarch,3,MOQ,,core.melee EX01 EX03 BA02 EXQ pick.M1 BA01 EX02 MO02 EX04 BA04 MO01 EX08 EXK2 MO04 MOQ BAQ BAQ6 MO07
120,random ranged seg4 #0,random,ranged,seg4,8000,19,2920.42,21.625,181.4,0,27.7,2917.5,1,0,1007,1.19,gravemarch,3,BRQ,,core.ranged pick.M3 OR02 PR02 PR06 OR01 PRQ OR06 BR11 BR06 PRQ1 OR04 PRQ6 BR01 ORK2 BRQ BR02 BRQ4 PR01
124,random ranged seg4 #4,random,ranged,seg4,7800,22,1070.78,6.250,143.0,0,49.3,652.5,80,0,685,0.84,conduit,3,PRQ,,core.ranged BR02 BR05 BR01 PR01 pick.M2 BR03 BR06 PR03 BR07 PR02 OR02 BR08 PR05 OR10 PR07 PR06 BRQ PR08 BR04 PRQ OR01
128,random ranged seg4 #8,random,ranged,seg4,8000,20,4705.31,37.750,162.9,0,36.4,5025.0,0,0,1449,2.25,lattice,3,,,core.ranged OR01 BR11 pick.M1 OR04 OR02 OR03 OR09 PR01 OR07 BR02 BR05 OR12 BR06 PR02 PR11 PR10 PR05 OR08 PR03
132,random ranged seg4 #12,random,ranged,seg4,8000,21,2023.41,15.625,158.4,1,9.1,2017.5,1,0,864,0.93,conduit,3,PRQ,,core.ranged PR01 PR02 PRQ pick.M1 PRQ6 PRQ2 PRQ3 PR03 BR01 PR07 PR08 OR01 PR12 PRS2 BR02 OR03 OR02 PR11 BR09 PRS1
136,random magic seg4 #0,random,magic,seg4,8000,21,3355.29,23.250,218.0,1,20.1,3352.5,0,0,2907,7.11,gravemarch,3,,,core.magic DO05 DO01 pick.M2 DT01 DT06 DO03 DT02 DO12 DO07 DT07 DO09 DT04 DT11 DOK1 DT09 DO10 DT05 IN02 DO06 IN01
140,random magic seg4 #4,random,magic,seg4,8000,19,2057.99,13.375,150.9,0,32.5,1725.0,1,0,222,2.30,lattice,3,DOQ,,core.magic DO12 DO09 DO10 DO02 DO05 DO06 DT02 pick.M1 IN01 DT05 DO08 DOK2 DTQ DOQ DOQ6 IN02 IN03 DT01
144,random magic seg4 #8,random,magic,seg4,8000,20,1881.80,15.125,148.4,1,8.8,1822.5,1,0,1537,2.97,conduit,3,DOQ,,core.magic IN01 DO12 IN02 INQ DT02 IN10 pick.M1 DO09 DO02 DT05 DT10 IN04 IN05 DO05 IN09 DO06 DOQ IN06 DO07
148,random magic seg4 #12,random,magic,seg4,8000,21,1755.91,13.625,120.2,1,18.6,1860.0,1,0,1048,3.59,conduit,3,DTQ,,core.magic pick.M3 IN01 DT02 DO01 DO02 DO03 DT05 DT04 DTQ DTQ4 DTQ2 DT06 DT07 IN03 IN05 DTQ5 DO09 DO10 IN02 IN07
152,random melee seg6 #0,random,melee,seg6,16000,33,5651.13,42.875,0.0,0,216.0,5595.0,0,0,268,8.02,lattice,6,MOQ,,core.melee BA01 MO02 MO01 MO04 EX02 MOQ pick.M2 MO03 MO08 MOQ3 MOQ2 BA03 BA04 MOK1 EX01 EX05 BA02 BA06 MOF1 EX12 MO09 EXF1 MO05 MOQ6 BA10 MO12 MO10 MOQ1 EXQ MO06 EX06 MOS2
156,random melee seg6 #4,random,melee,seg6,16000,32,1355.89,8.250,0.0,0,273.0,1125.0,1,0,646,1.27,conduit,6,MOQ,,core.melee BA02 EX02 BA01 MO02 MO01 MOQ MOQ6 MO04 BAQ BAQ3 pick.M1 BA05 BA10 BAQ4 MO07 MOQ1 BA09 BAQ2 MO09 BAQ6 BAQ5 MOQ4 BA11 MO12 MO05 BA04 BA12 G1 core.magic BAS1 DO01
160,random melee seg6 #8,random,melee,seg6,16000,33,5359.79,41.500,55.5,0,190.5,5490.0,80,0,308,7.09,lattice,6,BAQ,,core.melee MO02 BA02 pick.M2 EX02 BA06 BAQ BA05 BA11 BA10 BAQ1 BAQ5 MO01 MO08 MO05 BAK1 MO04 MO09 MO06 EX06 MO10 BAQ6 MOQ G1 core.magic EX03 BAQ3 EX01 MOF1 BAQ4 IN02 DT01 BA01
164,random melee seg6 #12,random,melee,seg6,16000,28,5544.27,40.625,105.2,0,141.0,5407.5,80,0,129,6.63,lattice,6,BAQ,,core.melee EX02 pick.M2 MO01 BA02 BA01 BA06 MO02 BA04 BA09 MO04 MO05 MO03 BA08 BA05 EX01 MOF2 BAC BAA MOQ MOQ4 BAF2 BAQ MOQ6 MO09 BA11 MO08 MOS2
168,random ranged seg6 #0,random,ranged,seg6,16000,33,2417.79,18.000,132.0,0,142.7,2055.0,0,0,713,0.90,conduit,6,PRQ,,core.ranged OR02 BR01 OR06 OR01 BR11 OR04 PR01 BRQ OR08 BRQ1 BRQ3 PR02 PR03 BR06 BR05 PR06 PRQ PRK1 BRQ7 PRQ2 pick.M2 BRQ4 ORK1 OR03 PRQ5 BRS2 PRQ4 BRK1 BR03 PRQ1 OR07 BR02
172,random ranged seg6 #4,random,ranged,seg6,16000,29,4198.88,29.375,199.0,0,32.0,3697.5,0,0,1922,2.28,lattice,6,BRQ,,core.ranged pick.M2 PR01 BR02 OR02 BR05 OR05 ORQ OR06 BRQ OR10 BR08 OR09 ORQ4 BR03 ORQ3 BRQ4 ORA BRQ2 BR04 G1 core.magic BRQ7 BRK2 OR01 ORQ6 PR03 DO01 PR08
176,random ranged seg6 #8,random,ranged,seg6,16000,29,5280.04,37.625,176.6,0,39.2,5115.0,4,0,1691,2.25,lattice,6,ORQ,,core.ranged pick.M3 PR01 OR02 OR06 BR01 BR04 OR01 BR08 BR02 BRF2 BR05 BR09 BR06 OR05 PR03 PR02 OR04 OR11 BRC PR07 PRQ ORQ BR10 ORQ6 PR06 ORK2 BR11 PRK1
180,random ranged seg6 #12,random,ranged,seg6,16000,31,2906.45,21.250,133.7,0,114.4,2797.5,80,0,1065,2.40,lattice,6,PRQ,,core.ranged BR02 pick.M2 BR01 BR05 PR01 PR03 PRQ PR05 BR06 BR04 PR02 PR07 PR11 PR12 BR03 OR02 BR09 PRC PR04 OR06 ORQ PR06 BR12 BR11 PRS2 ORQ2 PRF2 BRQ ORQ6 BRS1
