job_index,name,source,core,tier,spent,node_count,hp_per_second,kills_per_second,player_hp_lost,deaths,min_hp,followers_per_minute,q_casts,v_casts,generated,frame_p95_ms,gear_set,gear_rank,q,v,nodes
0,Execution early,preset,melee,seg2,1000,5,1176.17,7.900,50.7,0,107.8,954.0,0,0,200,1.21,gravemarch,1,,,core.melee EX01 EX02 EX03 EX04
4,Momentum developed,preset,melee,seg4,4400,10,3266.94,24.800,0.0,0,179.1,3090.0,1,0,127,5.89,lattice,3,MOQ,,core.melee MO01 MO02 MO03 MO04 MO07 MO12 MOQ MOQ1 MOF1
8,Bastion pure,preset,melee,seg6,14200,16,1504.56,9.900,163.2,0,72.2,1308.0,1,0,313,2.84,conduit,6,BAQ,BAV,core.melee BA01 BA02 BA03 BA04 BA08 BA09 BA10 BAQ BAQ2 BAQ4 BAF2 BAK1 BAC BAV BAE2
12,Barrage early,preset,ranged,seg2,1000,5,683.66,4.800,153.7,1,7.3,600.0,0,0,669,0.85,conduit,1,,,core.ranged BR01 BR02 BR04 BR05
16,Ordnance developed,preset,ranged,seg4,5200,11,4726.69,35.600,212.2,1,9.1,4530.0,1,0,1870,0.97,gravemarch,3,ORQ,,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1
20,Invocation pure,preset,magic,seg6,13600,15,1435.77,10.100,183.2,0,7.8,1242.0,1,0,344,3.10,lattice,6,INQ,INV,core.magic IN01 IN02 IN05 IN04 IN10 IN11 IN06 INQ INQ6 INF2 INK1 INC INV INE2
24,Dominion early,preset,magic,seg2,1200,5,2611.74,20.600,109.0,1,8.1,2700.0,0,0,1218,3.43,lattice,1,,,core.magic DO01 DO02 DO04 DO06
28,Hybrid: Corpse artillery,preset,melee,seg9,16400,20,6491.71,43.900,141.7,0,202.7,5868.0,1,2,962,5.34,lattice,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged OR01 OR03 OR04 MR3
32,Hybrid: Runes and mines,preset,ranged,seg9,18000,22,5088.90,35.300,216.9,0,106.6,4716.0,1,2,1422,2.10,lattice,10,ORQ,ORV,core.ranged OR01 OR02 OR03 OR04 OR09 OR08 OR12 ORQ ORQ1 ORF1 ORC ORV ORE1 G1 core.magic IN02 IN06 IN09 RM7 OR05 OR06
36,Ascendant: Three-Core avalanche,preset,melee,seg12,71000,51,6997.00,44.700,61.9,0,543.7,6072.0,1,2,4038,1.65,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
40,Authored: Kill Line,authored,ranged,seg6,12800,15,1241.04,8.900,247.4,0,33.2,996.0,1,0,276,0.92,conduit,6,PRQ,PRV,core.ranged PR01 PR02 PR03 PR04 PR07 PR09 PR12 PRQ PRQ5 PR05 PRF1 PRC PRV PRE1
44,Authored: Loaded Coin,authored,magic,seg6,13600,15,4196.08,32.000,185.8,0,96.6,4080.0,1,1,2591,1.86,conduit,6,DTQ,DTV,core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2
48,Authored: Death Debt,authored,melee,seg9,20600,26,6359.82,42.000,184.1,0,178.0,5778.0,1,2,2920,2.96,conduit,10,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.magic DT01 DT06 DT03 DT02 DT10 DT08 DT09 DT12 DTF2 MM2
52,Authored: Three-Core avalanche,authored,melee,seg12,71000,51,6649.21,45.200,74.9,0,538.6,6108.0,1,2,3129,1.49,gravemarch,15,EXQ,EXV,core.melee EX01 EX02 EX03 EX04 EX05 EX06 EX10 EXQ EXQ3 EXF2 EXC EXV EXE2 G1 core.ranged BR01 BR02 BR04 BR05 BR09 BR10 BR11 BR08 BRQ BRQ4 BRF2 BRC BRV BRE2 MR2 G2 core.magic DT01 DT02 DT03 DT06 DT10 DT08 DT09 DT12 DTQ DTQ6 DTF2 DTC DTV DTE2 MM2 RM5 ASC ASC3
56,random melee seg2 #0,random,melee,seg2,3000,8,3334.26,25.500,151.7,1,1.5,3420.0,0,0,132,6.20,lattice,1,,,core.melee BA02 BA06 BA05 BA10 MO08 BA01 BA11
60,random melee seg2 #4,random,melee,seg2,3000,9,475.99,2.800,163.8,1,4.3,456.0,0,0,158,1.84,conduit,1,,,core.melee EX02 BA02 BA05 BA10 BA11 BA06 MO01 EX01
64,random melee seg2 #8,random,melee,seg2,3000,11,2866.15,22.900,134.0,1,23.8,2958.0,0,0,138,6.21,lattice,1,,,core.melee EX02 BA02 MO01 BA01 MO02 EX01 MO04 BA05 BA10 BA03
68,random melee seg2 #12,random,melee,seg2,3000,11,3164.08,25.200,146.0,1,8.7,3204.0,0,0,150,6.80,lattice,1,,,core.melee EX02 BA02 BA01 MO02 MO06 EX01 MO05 MO11 MO01 EX04
72,random ranged seg2 #0,random,ranged,seg2,3000,10,1236.56,10.100,155.5,1,3.5,1302.0,0,0,507,1.00,gravemarch,1,,,core.ranged PR02 BR02 BR05 PR01 PR03 BR06 PR11 PR05 BR01
76,random ranged seg2 #4,random,ranged,seg2,3000,9,1385.30,9.100,119.0,1,15.0,1038.0,1,0,286,2.20,lattice,1,PRQ,,core.ranged PR01 OR02 PR03 PRQ PRQ5 OR05 OR06 BR01
80,random ranged seg2 #8,random,ranged,seg2,3000,10,1231.70,9.900,163.6,1,10.0,1344.0,1,0,590,0.89,gravemarch,1,ORQ,,core.ranged OR01 BR01 BR02 BR05 OR02 OR03 ORQ ORQ6 PR01
84,random ranged seg2 #12,random,ranged,seg2,3000,10,1080.36,7.700,137.7,1,15.3,894.0,0,0,398,0.86,conduit,1,,,core.ranged PR01 PR02 PR03 OR01 PR08 BR02 PR04 PR09 PR05
88,random magic seg2 #0,random,magic,seg2,3000,10,3780.06,30.000,139.9,1,24.8,4176.0,0,0,1879,3.77,conduit,1,,,core.magic DT01 DT04 DT11 IN01 DT03 DO12 IN06 IN03 DO01
92,random magic seg2 #4,random,magic,seg2,3000,10,3336.18,28.800,130.3,1,12.8,3438.0,2,0,1132,3.92,conduit,1,DOQ,,core.magic DO01 DO05 IN01 DOQ IN03 DO06 DOQ4 IN02 DO12
96,random magic seg2 #8,random,magic,seg2,3000,12,4573.38,36.100,122.0,1,10.7,4866.0,0,0,2613,3.77,conduit,1,,,core.magic DO01 DO12 IN02 DO02 DO04 DT02 DOS1 DO09 DT03 DT06 IN01
