t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building
456895582,431.929903,22.8315555555626,44.0,26.828,12.266,69,33,70,2708,20,false
456912010,431.946331,24.312,44.0,26.828,12.266,69,33,70,2708,20,false
456926496,431.960817,14.829,44.0,26.828,12.266,69,33,70,2709,20,false
456942467,431.976788,15.714,44.0,26.828,12.266,69,33,70,2708,20,false
456957775,431.992096,14.663,44.0,26.828,12.266,69,33,70,2706,20,false
456974405,432.008726,16.94,44.0,26.828,12.266,69,33,70,2705,20,false
456992435,432.026756,17.131,44.0,26.828,12.266,69,33,70,2705,20,false
457009355,432.043676,16.999,44.0,26.828,12.266,69,33,70,2705,20,false
457028740,432.063061,18.5185185185185,52.0,28.49,13.758,69,33,70,2703,20,false
457046159,432.08048,18.0854814814815,52.0,28.49,13.758,69,33,70,2704,20,false
457063695,432.098016,18.1818181818182,52.0,28.49,13.758,69,33,70,2702,20,false
457078557,432.112878,14.9821818181818,52.0,28.49,13.758,69,33,70,2702,20,false
457095512,432.129833,15.087,52.0,28.49,13.758,69,33,70,2702,20,false
457112924,432.147245,16.6666666666667,52.0,28.49,13.758,69,33,70,2701,20,false
457126729,432.16105,16.6666666666667,52.0,28.49,13.758,69,33,70,2701,20,false
457144887,432.179208,16.6666666666667,52.0,28.49,13.758,69,33,69,2704,20,false
457159213,432.193534,16.6666666666667,52.0,28.49,13.758,69,33,69,2703,20,false
457175651,432.209972,14.1713333333333,52.0,28.49,13.758,69,33,69,2702,20,false
457192680,432.227001,16.6666666666667,52.0,28.49,13.758,69,33,73,2725,20,false
457207965,432.242286,16.6666666666667,52.0,28.49,13.758,69,33,73,2727,20,false
457225524,432.259845,16.6666666666667,52.0,28.49,13.758,72,36,73,2726,20,false
457241082,432.275403,16.6666666666667,52.0,28.49,13.758,72,36,73,2727,20,false
457257699,432.29202,16.6666666666667,52.0,28.49,13.758,72,36,73,2728,20,false
457277892,432.312213,16.6666666666667,52.0,28.49,13.758,72,36,73,2774,20,false
457295566,432.329887,16.6666666666667,52.0,28.49,13.758,72,36,73,2772,20,false
457311183,432.345504,16.6666666666667,52.0,28.49,13.758,72,36,73,2773,20,false
457329139,432.36346,16.6666666666667,52.0,28.49,13.758,72,36,73,2772,20,false
457343255,432.377576,16.6666666666667,52.0,28.49,13.758,72,36,73,2769,20,false
