t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building,sim_full,sim_mid,sim_far,sim_protected,sim_physics_enabled,sim_pressure,sim_spatial_demotions,tier_changes_total,tier_reversals_total,world_materialized,world_data_only
109479807,91.826241,16.6666666666667,60.0,15.097,2.817,5,0,8,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109496284,91.842718,16.6666666666667,60.0,15.097,2.817,5,0,8,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109512519,91.858953,16.6666666666667,60.0,15.097,2.817,5,0,8,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109529327,91.875761,16.6666666666667,60.0,15.097,2.817,5,0,8,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109546357,91.892791,16.6666666666667,60.0,15.097,2.817,5,0,8,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109564334,91.910768,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109578536,91.92497,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109596159,91.942593,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109611670,91.958104,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109629460,91.975894,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109646301,91.992735,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109663377,92.009811,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109679899,92.026333,16.6666666666667,60.0,15.097,2.817,5,0,4,2515,19,false,6,0,0,0,6,0,0,1019,492,5,11
109697608,92.044042,16.6666666666667,60.0,15.097,2.817,3,1,4,2563,19,false,3,0,0,0,3,0,0,1019,492,3,16
109713027,92.059461,16.6666666666667,60.0,15.097,2.817,3,1,4,2563,19,false,3,0,0,0,3,0,0,1019,492,3,16
109729833,92.076267,16.6666666666667,60.0,15.097,2.817,3,1,4,2563,19,false,3,0,0,0,3,0,0,1019,492,3,16
109747107,92.093541,16.6666666666667,60.0,15.097,2.817,3,1,4,2563,19,false,3,0,0,0,3,0,0,1019,492,3,16
109763566,92.11,16.6666666666667,60.0,15.097,2.817,3,1,4,2560,19,false,3,0,0,0,3,0,0,1019,492,3,16
109781485,92.127919,16.6666666666667,60.0,15.097,2.817,3,1,2,2555,19,false,3,0,0,0,3,0,0,1019,492,3,16
109796559,92.142993,16.6666666666667,60.0,15.097,2.817,3,1,2,2555,19,false,3,0,0,0,3,0,0,1019,492,3,16
109813199,92.159633,16.6666666666667,60.0,15.097,2.817,3,1,2,2555,19,false,3,0,0,0,3,0,0,1019,492,3,16
109829914,92.176348,16.6666666666667,60.0,15.097,2.817,3,1,2,2555,19,false,3,0,0,0,3,0,0,1019,492,3,16
109846720,92.193154,16.6666666666667,60.0,15.097,2.817,3,1,2,2551,19,false,3,0,0,0,3,0,0,1019,492,3,16
109863662,92.210096,16.6666666666667,60.0,15.097,2.817,3,1,2,2551,19,false,3,0,0,0,3,0,0,1019,492,3,16
109880521,92.226955,16.6666666666667,60.0,15.097,2.817,3,1,2,2551,19,false,3,0,0,0,3,0,0,1019,492,3,16
109899583,92.246017,16.6666666666667,60.0,15.097,2.817,3,1,2,2549,19,false,3,0,0,0,3,0,0,1019,492,3,16
109913817,92.260251,16.6666666666667,60.0,15.097,2.817,3,1,2,2549,19,false,3,0,0,0,3,0,0,1019,492,3,16
109930051,92.276485,16.6666666666667,60.0,15.097,2.817,3,1,2,2549,19,false,3,0,0,0,3,0,0,1019,492,3,16
109946721,92.293155,16.6666666666667,60.0,15.097,2.817,3,1,2,2549,19,false,3,0,0,0,3,0,0,1019,492,3,16
109963327,92.309761,16.6666666666667,60.0,15.097,2.817,3,1,2,2548,19,false,3,0,0,0,3,0,0,1019,492,3,16
109980135,92.326569,16.6666666666667,60.0,15.097,2.817,3,1,2,2548,19,false,3,0,0,0,3,0,0,1019,492,3,16
109997836,92.34427,16.6666666666667,60.0,15.097,2.817,3,1,2,2548,19,false,3,0,0,0,3,0,0,1019,492,3,16
110014107,92.360541,16.6666666666667,60.0,15.097,2.817,3,1,2,2530,19,false,3,0,0,0,3,0,0,1019,492,3,16
110029557,92.375991,16.6666666666667,60.0,21.846,5.465,3,1,2,2528,19,false,3,0,0,0,3,0,0,1019,492,3,16
110046112,92.392546,16.6666666666667,60.0,21.846,5.465,3,1,2,2527,19,false,3,0,0,0,3,0,0,1019,492,3,16
110063296,92.40973,16.6666666666667,60.0,21.846,5.465,3,1,2,2527,19,false,3,0,0,0,3,0,0,1019,492,3,16
110079876,92.42631,16.6666666666667,60.0,21.846,5.465,3,1,2,2530,19,false,3,0,0,0,3,0,0,1019,492,3,16
110095950,92.442384,16.6666666666667,60.0,21.846,5.465,3,1,2,2530,19,false,3,0,0,0,3,0,0,1019,492,3,16
110112940,92.459374,16.6666666666667,60.0,21.846,5.465,3,1,2,2530,19,false,3,0,0,0,3,0,0,1019,492,3,16
