t_usec,elapsed_sec,frame_ms,fps,process_ms,physics_ms,enemies,projectiles,physics_objects,nodes,chunks,flow_building,sim_full,sim_mid,sim_far,sim_protected,sim_physics_enabled,sim_pressure,sim_spatial_demotions,tier_changes_total,tier_reversals_total,world_materialized,world_data_only
216756145,197.904267,17.607,39.0,34.552,10.696,84,50,58,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
216783086,197.931208,25.0,39.0,34.552,10.696,84,50,57,3803,30,false,26,42,17,2,68,1,0,396,148,84,89
216805112,197.953234,25.0,39.0,34.552,10.696,84,50,59,3804,30,false,26,42,17,2,68,1,0,396,148,84,89
216847973,197.996095,26.4363333333333,39.0,34.552,10.696,84,50,58,3805,30,false,26,42,17,2,68,1,0,396,148,84,89
216867346,198.015468,23.7656666666563,39.0,34.552,10.696,84,50,58,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
216895632,198.043754,25.0,39.0,34.552,10.696,84,50,59,3801,30,false,26,42,17,2,68,1,0,396,148,84,89
216926968,198.07509,26.7583333333437,39.0,34.552,10.696,84,50,64,3801,30,false,26,42,17,2,68,1,0,396,148,84,89
216950600,198.098722,30.599,39.0,34.552,10.696,84,50,59,3801,30,false,26,42,17,2,68,1,0,396,148,84,89
216980938,198.12906,25.9259259259259,39.0,34.552,10.696,84,50,61,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
217008306,198.156428,26.8640740740741,39.0,34.552,10.696,84,50,58,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
217033014,198.181136,27.059,39.0,34.552,10.696,84,50,60,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
217062618,198.21074,26.714,34.0,32.369,11.034,84,50,58,3802,30,false,26,42,17,2,68,1,0,396,148,84,89
217079952,198.228074,26.6666666666667,34.0,32.369,11.034,84,50,61,3801,30,false,26,42,17,2,68,1,0,396,148,84,89
217128280,198.276402,44.5866666666667,34.0,32.369,11.034,84,47,61,3803,30,true,26,42,17,2,68,1,0,398,150,84,90
217161420,198.309542,33.3333333333333,34.0,32.369,11.034,84,47,59,3810,30,true,26,42,17,2,68,1,0,398,150,84,90
217191892,198.340014,33.3333333333333,34.0,32.369,11.034,84,47,57,3808,30,true,26,42,17,2,68,1,0,398,150,84,90
217220374,198.368496,33.3333333333333,34.0,32.369,11.034,84,47,64,3808,30,true,26,42,17,2,68,1,0,398,150,84,90
217258770,198.406892,33.3333333333333,34.0,32.369,11.034,84,47,58,3814,30,true,26,42,17,2,68,1,0,398,150,84,90
217287559,198.435681,33.3333333333333,34.0,32.369,11.034,84,47,59,3816,30,true,26,42,17,2,68,1,0,398,150,84,90
217315221,198.463343,31.6716666666667,34.0,32.369,11.034,84,47,64,3820,30,true,26,42,17,2,68,1,0,398,150,84,90
217333773,198.481895,24.551,34.0,32.369,11.034,84,47,59,3819,30,true,26,42,17,2,68,1,0,398,150,84,90
217379881,198.528003,31.6666666666667,34.0,32.369,11.034,84,47,62,3818,30,true,26,42,17,2,68,1,0,398,150,84,90
217406418,198.55454,31.6666666666667,34.0,32.369,11.034,84,47,61,3815,30,true,26,42,17,2,68,1,0,398,150,84,90
217433098,198.58122,31.2006666666667,34.0,32.369,11.034,84,47,58,3816,30,true,26,42,17,2,68,1,0,398,150,84,90
217457940,198.606062,24.541,34.0,32.369,11.034,84,47,64,3815,30,true,26,42,17,2,68,1,0,398,150,84,90
217491720,198.639842,31.43,34.0,32.369,11.034,84,47,60,3816,30,true,26,42,17,2,68,1,0,398,150,84,90
217510341,198.658463,25.629,34.0,32.369,11.034,84,47,64,3815,30,true,26,42,17,2,68,1,0,398,150,84,90
217541365,198.689487,25.725,34.0,32.369,11.034,84,47,60,3815,30,true,26,42,17,2,68,1,0,398,150,84,90
217563306,198.711428,25.73,34.0,32.369,11.034,84,47,64,3814,30,true,26,42,17,2,68,1,0,398,150,84,90
217595436,198.743558,27.7777777777778,34.0,32.369,11.034,84,47,58,3815,30,true,26,42,17,2,68,1,0,398,150,84,90
217638185,198.786307,28.2368888888785,34.0,32.369,11.034,85,48,59,3815,30,false,26,44,15,2,70,1,0,402,152,85,90
217664250,198.812372,27.7777777777778,34.0,32.369,11.034,85,48,62,3820,30,false,26,44,15,2,70,1,0,402,152,85,90
217691766,198.839888,27.7777777777778,34.0,32.369,11.034,85,48,60,3819,30,false,26,44,15,2,70,1,0,402,152,85,90
217722741,198.870863,27.7777777777778,34.0,32.369,11.034,85,48,62,3818,30,false,26,44,15,2,70,1,0,402,152,85,90
217742677,198.890799,27.7777777777778,34.0,32.369,11.034,85,48,59,3818,30,false,26,44,15,2,70,1,0,402,152,85,90
